eventNumber,hitDetID,hitT,hitQ
0,"[357, 357, 357, 358, 364, 364, 364, 367, 370, 370, 373, 375, 375, 380, 381, 384, 387, 389, 389, 390, 390, 403, 405, 405, 410, 413, 416, 416, 416, 416, 416, 416, 418, 420, 420, 420, 432, 432, 437, 441, 441, 442, 450, 450, 450, 450, 450, 450]","[1104.0, 1154.7272727272727, 1400.7272727272727, 1307.6, 193.0, 441.0, 1699.2, 361.6363636363636, 236.0, 1306.5, 101.42857142857143, 338.6666666666667, 521.0, 1043.7142857142858, 457.55555555555554, 1317.75, 801.0, 525.0, 851.4666666666667, 516.0, 699.8333333333334, 1556.0, 363.42857142857144, 1684.0, 77.0909090909091, 425.1111111111111, 383.35232198142415, 398.0, 407.3265306122449, 423.2258064516129, 424.0, 463.6666666666667, 1807.8, 602.0, 756.0, 913.5, 374.0, 376.0, 461.38461538461536, 544.375, 546.0, 1117.0, 386.4, 409.3333333333333, 459.3333333333333, 503.0, 643.0, 787.3333333333334]","[0.000966943359375, 0.003962109375000001, 0.0020989746093750005, 0.0022404785156250008, 0.002900830078125, 0.001674462890625, 0.0020518066406250003, 0.00400927734375, 0.0012263671875000002, 0.0024763183593749997, 0.0036083496093750017, 0.023489648437500003, 0.0004716796875, 0.0029479980468750007, 0.002169726562500001, 0.0015565429687499999, 0.00099052734375, 0.0008490234375, 0.0019574707031250007, 0.0015093749999999999, 0.0025234863281250004, 0.0015801269531249998, 0.0024527343750000005, 0.0022640625000000004, 0.0019810546875000004, 0.0024999023437500003, 0.18881337890625002, 0.023796240234375002, -0.00033017578124999996, 0.001674462890625, 0.001344287109375, 0.00023583984375, 0.001249951171875, 0.003608349609374999, 0.0044337890625, 0.002971582031250001, 0.0014622070312500003, 0.001627294921875, 0.0028300781250000014, 0.002193310546875, 0.0025942382812500003, 0.001957470703125001, 0.00136787109375, 0.00099052734375, 0.00033017578125, 0.005023388671875001, 0.008938330078125, 0.006414843750000002]"
1,"[367, 396, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[472.75, 460.0, 383.81413612565444, 400.0, 407.46875, 423.35135135135135, 424.0, 608.0, 754.0, 918.0, 386.6666666666667, 409.3333333333333, 502.0, 640.0, 783.5]","[0.002381982421875, 0.0014622070312500007, 0.18577104492187502, 0.028041357421874996, 1.3877787807814457e-19, 0.0019103027343749998, 0.001627294921875, 0.003183837890625001, 0.004787548828125, 0.0021697265625, 0.0013914550781250002, 0.0010376953125, 0.004339453125, 0.007570458984375, 0.007546875000000003]"
2,"[416, 416, 416, 416, 416, 416, 416, 420, 420, 441, 450, 450, 450, 450, 450, 452]","[383.1140854047164, 398.0, 408.0, 423.037037037037, 424.0, 432.0, 440.0, 610.0, 754.6666666666666, 14.0, 384.5, 408.0, 502.0, 645.0, 783.0, 473.0]","[0.1825400390625, 0.0229236328125, 0.00165087890625, 0.0017452148437500001, 0.0014622070312500003, 0.00042451171875, 0.000259423828125, 0.003042333984375, 0.003962109375000002, 0.0014150390624999998, 0.0012735351562499998, 0.001320703125, 0.0036791015625000003, 0.0077355468750000015, 0.007098779296875003, 0.002169726562500001]"
3,"[416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[382.97998708844415, 398.0, 408.0, 423.07142857142856, 424.0, 432.0, 447.6923076923077, 608.0, 761.0, 385.5, 408.0, 502.0, 640.0, 784.0]","[0.18287021484375, 0.023300976562500006, 0.00188671875, 0.0016037109375000003, 0.0012263671875000002, 0.0002830078125, 0.0002830078125, 0.0030187499999999997, 0.0040564453125, 0.0014857910156250002, 0.0012735351562499998, 0.00419794921875, 0.007358203125000001, 0.007617626953125]"
4,"[339, 416, 416, 416, 416, 416, 416, 416, 420, 420, 441, 450, 450, 450, 450, 450]","[779.0, 383.242442936459, 398.0, 407.20454545454544, 423.0, 424.0, 434.0, 440.0, 603.0, 761.3333333333334, 460.8, 386.0, 409.3333333333333, 501.6, 645.0, 786.6666666666666]","[0.0015801269531249998, 0.18105424804687498, 0.025588623046874998, -0.0004009277343749998, 0.0019103027343749996, 0.0015565429687499999, 0.00035375976562500007, 0.00014150390625, 0.003089501953125, 0.003938525390624999, 0.001698046875, 0.00117919921875, 0.0011084472656250001, 0.003962109375, 0.007311035156250002, 0.007240283203125001]"
5,"[339, 344, 366, 366, 370, 403, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450]","[775.0, 634.0, 1011.5, 1083.0, 472.0, 475.6, 383.44191616766466, 398.0, 407.25454545454545, 423.0857142857143, 424.0, 432.5, 463.6, 606.0, 753.0, 386.0, 502.0, 646.0, 788.0]","[0.002075390625, 0.001957470703125, 0.0011556152343750003, 0.0016508789062500003, 0.0018395507812499997, 0.001297119140625, 0.18678515625000003, 0.028536621093750002, -0.00037734374999999997, 0.00231123046875, 0.0017923828125, 0.00099052734375, 0.0012735351562500003, 0.003136669921875, 0.004174365234375, 0.000943359375, 0.003561181640625, 0.0066978515625000035, 0.006367675781250003]"
6,"[339, 366, 416, 416, 416, 416, 416, 416, 416, 420, 420, 420, 425, 450, 450, 450, 450, 450, 450]","[767.0, 668.6666666666666, 383.4030395136778, 398.0, 407.2352941176471, 423.09090909090907, 434.0, 440.0, 448.0, 602.0, 754.0, 913.3333333333334, 1896.5, 386.5, 410.0, 458.8, 502.5, 642.0, 788.0]","[0.0026649902343749998, 0.0016744628906249998, 0.18770493164062502, 0.026414062500000005, 4.716796875000019e-05, 0.0027593261718750002, 0.0007546875, 0.000495263671875, 0.00089619140625, 0.0037026855468750004, 0.00485830078125, 0.0025942382812500007, 0.004268701171875003, 0.00113203125, 0.0012027832031250001, -4.716796874999998e-05, 0.0043630371093750005, 0.008018554687500004, 0.005943164062500002]"
7,"[334, 339, 416, 416, 416, 416, 416, 416, 416, 420, 420, 450, 450, 450, 450, 450]","[487.0, 776.0, 383.37659187386294, 398.0, 407.2371134020619, 423.14285714285717, 424.0, 434.0, 440.0, 608.0, 747.0, 384.6666666666667, 408.0, 502.0, 641.0, 786.0]","[0.0010848632812500002, 0.001957470703125, 0.18772851562499998, 0.026154638671875, -0.0003301757812499999, 0.0020046386718749996, 0.0016272949218750002, 0.0005660156250000001, 0.00042451171875, 0.0031130859374999993, 0.0038441894531250007, 0.001108447265625, 0.0010612792968749999, 0.004528124999999998, 0.007759130859375002, 0.007334619140625001]"
8,"[344, 366, 406, 416, 416, 416, 416, 416, 416, 420, 420, 420, 450, 450, 450, 450, 450]","[641.5, 155.0, 1029.6, 383.38433515482694, 398.0, 407.2277227722772, 423.0857142857143, 434.0, 440.0, 615.0, 753.0, 920.0, 385.0, 408.0, 501.6, 644.0, 784.0]","[0.001391455078125, 0.000966943359375, 0.0043630371093750005, 0.18834169921875, 0.026862158203125003, 2.358398437499999e-05, 0.0028772460937499995, 0.000636767578125, 0.0004009277343750001, 0.003466845703125, 0.0047403808593750015, 0.0021933105468750005, 0.00127353515625, 0.0011556152343750003, 0.004009277343749999, 0.006957275390625, 0.006532763671875003]"
9,"[365, 416, 416, 416, 416, 416, 416, 416, 418, 420, 420, 450, 450, 450, 450]","[1128.857142857143, 383.6547192353644, 398.0, 407.31297709923666, 423.219512195122, 424.0, 432.57142857142856, 455.6666666666667, 1653.3333333333333, 601.3333333333334, 753.3333333333334, 385.3333333333333, 501.6666666666667, 646.0, 786.0]","[0.0021225585937500006, 0.18376640625000001, 0.030942187500000006, -0.00030659179687499936, 0.0021933105468749997, 0.0015329589843750002, 0.0005895996093750001, 0.00037734375, 0.0019338867187499997, 0.003325341796875001, 0.00410361328125, 0.002924414062500001, 0.0038677734375000008, 0.006391259765625002, 0.007334619140625001]"
