,digitPMTID,digitTime,digitCharge
0,"[3, 6, 17, 20, 22, 23, 27, 52, 53, 54, 59, 61, 66, 71, 72, 73, 74, 75, 80, 81, 83, 85, 86, 87, 88, 94, 96, 97, 99, 103, 125, 144, 149, 170, 213]","[338.07612105263155, 335.60793333333334, 333.1215235955056, 336.6860117647059, 354.46991329479766, 335.16855510204084, 335.0774666666666, 347.8486, 334.9545483870968, 337.1759333333333, 337.7192857142858, 336.2063, 337.50314444444444, 339.14548947368417, 337.38900526315786, 337.6277888888889, 337.9063290322581, 337.07675454545455, 337.31498275862066, 337.81508767123285, 338.15002093023253, 339.5380777777778, 336.564393006993, 337.4773666666667, 337.48143636363636, 337.8310064516129, 336.7296045112782, 337.790225, 337.9467148148148, 337.19983232323233, -126.7367999999997, 346.8816761061947, 92.96033333333332, 213.05116949152543, 336.3494126760563]","[2.5537109375, 2.9003906250000533, 3.5009765624998934, 2.1972656250000533, 2.529296875, 2.1972656249999467, 2.9443359375000533, 2.4121093750000533, 2.4902343749999467, 2.1630859375000533, 1.6162109374999467, 1.9091796875, 1.2207031249999467, 2.3632812500000533, 2.1191406250001066, 4.794921875, 4.140624999999893, 3.6279296874999467, 2.3437500000001066, 2.7246093749998934, 1.8115234374998934, 1.7773437499998934, 4.912109374999893, 10.043945312500053, 11.186523437499893, 7.358398437500107, 4.301757812499893, 5.371093749999893, 1.5820312500000533, 2.7880859374999467, 3.7695312500001066, 2.8271484375, 2.294921875, 2.4560546875000533, 2.5048828125000533]"
1,"[2, 6, 8, 18, 20, 25, 55, 58, 59, 60, 61, 65, 67, 68, 72, 73, 74, 75, 78, 81, 83, 86, 87, 88, 94, 96, 97, 101, 102, 103, 109, 110, 111, 122, 123, 131, 133, 149, 164, 165, 187]","[335.26371052631583, 342.3357764705882, 335.4113717948718, 335.7501975609756, 336.0980492753623, 335.96298059701496, 337.0299463414634, 337.65233913043477, 338.12873333333334, 336.5415352112676, 335.76579206349203, 336.13875797101446, 337.18437088607595, 337.73551630094045, 337.42931610738253, 337.7883117647059, 338.0726844720497, 337.9191260869565, 338.05870909090913, 336.8210307692308, 337.4316112033195, 338.068243373494, 341.78659041095887, 337.5340314049587, 336.8597171339564, 336.50942729658794, 339.41204623655915, 336.67041282051287, 337.6391714285714, 337.56434193548387, 337.03696229508193, 335.20118965517236, 337.79435238095243, 334.30155421686743, 336.5922619047619, 364.8775121212121, 348.55593396226413, 381.76631034482756, 346.2973652173913, 340.4525652173913, 346.58275555555554]","[1.4697265624999467, 3.9648437500000533, 1.7578125, 1.4990234375, 3.4472656249998934, 1.8896484374999467, 2.861328125, 1.4160156250000533, 2.1777343749999467, 3.7060546875000533, 4.404296875, 2.3535156250000533, 4.174804687499947, 5.2392578125, 8.657226562499893, 6.621093750000053, 6.362304687500053, 5.771484375000107, 2.2802734374999467, 2.2363281249999467, 5.527343749999947, 3.3105468749998934, 0.3369140625001066, 16.088867187500053, 8.427734374999893, 7.929687499999947, 2.2412109375000533, 3.4228515624998934, 1.3769531250000533, 1.9433593749998934, 0.7812500000001066, 1.0058593750001066, 1.2451171874998934, 1.7138671875, 1.8896484375, 0.7519531250001066, 2.9345703125, 2.2314453125000533, 1.9531249999999467, 1.1572265625000533, 1.7041015625000533]"
2,"[0, 3, 6, 8, 20, 59, 60, 65, 66, 67, 68, 70, 73, 74, 75, 78, 80, 81, 83, 85, 86, 87, 88, 94, 96, 97, 101, 102, 104, 116, 123, 125, 128, 155, 159, 164, 171, 172, 184, 191, 207, 240]","[-33.09477777777779, 343.2687169491525, 336.2958048192771, 335.11116666666663, 354.7200567901234, 347.8560422535211, 335.5286551724138, 340.2232106382978, 336.7785048780488, 336.6557, 335.6773344827586, 338.9725260869565, 337.03954516129033, 337.0702, 337.5128384615385, 336.82130458715596, 337.2605, 336.6799865284974, 337.4284548821549, 338.56896242038215, 337.8751653631285, 338.2063756756757, 337.5308322580645, 340.41358709677417, 336.7524588235294, 338.40043333333335, 337.133561971831, 336.928664516129, 336.7367911392405, 335.41704827586204, 343.875, 396.88771612903224, 395.0507783783784, 346.67089230769227, 347.64839090909095, 640.3830941176471, 351.60049999999995, 370.5561580645161, 346.5359285714286, 344.764425, 345.8809307692308, 335.79079473684203]","[1.6064453125000533, 1.044921875, 3.8085937500001066, 3.5351562499999467, 1.3574218750001066, 1.11328125, 0.7177734375, 4.321289062500107, 3.0468749999999467, 3.2275390624999467, 1.9531249999999467, 1.0302734374998934, 7.846679687499947, 9.145507812500107, 2.3974609375, 2.0117187500001066, 6.840820312500107, 6.293945312500107, 6.591796875, 2.0556640625001066, 4.755859375000053, 1.5380859375, 3.0322265625000533, 1.3183593750000533, 11.455078125000107, 3.867187499999894, 0.8349609374999467, 3.193359375, 2.8759765625000533, 1.6113281249998934, 1.2158203124998934, 1.9482421875000533, 2.2558593749998934, 0.6982421875000533, 5.024414062500053, 1.0888671874998934, 1.2060546875001066, 1.7871093749999467, 1.8603515625, 2.5292968750001066, 1.5576171874998934, 1.6357421875001066]"
3,"[6, 12, 18, 20, 27, 42, 54, 61, 62, 66, 67, 68, 71, 72, 73, 74, 75, 78, 80, 81, 83, 85, 86, 87, 88, 94, 96, 97, 101, 104, 106, 107, 111, 116, 128, 155, 164, 165, 166, 174, 185, 193, 228]","[335.9632956521739, 334.51419130434783, 335.67955454545455, 337.87170204081633, 335.7006738738738, 391.41850000000017, 343.07809090909086, 341.0708714285714, 346.73575454545454, 372.12722173913045, 356.4169111801242, 336.9111780487805, 337.9526411764706, 338.02147627118643, 337.299604845815, 336.7189958115183, 337.5381468468468, 352.1971953488372, 337.4190873605948, 246.29055, 337.42653668639053, 338.12030000000004, 338.18107346938774, 336.9327512820513, 336.86185970149256, 337.1528923076923, 338.66857922077924, 337.2461, 410.9285666666667, 336.08323544973547, 336.71945079365076, 336.30095714285716, 353.1376105263158, 376.05532839506174, 342.30881379310347, 348.7875902439024, 344.46084347826087, 344.72106451612905, 328.7001666666667, 346.20339047619046, 348.53105315315315, 358.0633175438596, 160.95755454545457]","[3.7158203125000533, 0.8349609375, 1.7626953124998934, 2.216796875, 2.0312499999999467, 1.4355468749998934, 0.7958984375001066, 1.0986328124998934, 1.8798828125, 1.8798828125000533, 2.9736328125000533, 2.1240234374998934, 5.624999999999947, 2.6806640625001066, 3.8232421874998934, 14.252929687500107, 3.5644531250000533, 2.4462890624999467, 5.5615234375, 3.0078125, 7.158203124999893, 4.208984375, 4.433593749999893, 9.501953124999947, 8.549804687499893, 3.5351562500000533, 1.3037109374999467, 2.0898437499998934, 1.2109375000000533, 5.634765625000107, 2.2265625000001066, 1.337890625, 1.6455078124999467, 2.0751953125, 2.3730468750001066, 1.8115234375001066, 3.30078125, 2.2802734374999467, 1.3085937499999467, 2.24609375, 2.2460937499999467, 1.5283203124999467, 3.0664062499999467]"
4,"[3, 6, 13, 18, 53, 59, 60, 61, 63, 65, 66, 67, 72, 73, 74, 75, 78, 80, 81, 83, 85, 86, 87, 88, 91, 96, 97, 101, 108, 109, 111, 160, 179, 194, 205, 218]","[335.52410138408305, 336.14104628099176, 341.50631298701296, 335.5064809523809, 336.14733333333334, 336.1440819672131, 336.25163157894735, 336.55153076923074, 337.93087202797204, 337.56528823529413, 336.4698549295774, 338.36227894736845, 337.5469, 337.3102274336283, 336.9998, 337.3005307692308, 337.6748769230769, 336.8116229946524, 336.0708163934426, 337.5454930835735, 338.4739, 337.78844, 337.09445, 338.2596217821782, 337.92564193548384, 336.8001993558776, 340.12466097560974, 336.9970676300578, 336.9757222222221, 336.2069857142857, 339.91774782608695, 339.27741358024696, 346.44961860465116, 337.7870653061225, 246.29646666666667, 350.2928666666667]","[6.264648437500053, 6.7724609375, 2.4951171875, 2.6855468749999467, 1.4501953125, 4.9169921875, 2.1240234375001066, 2.8662109375000533, 2.8222656249999467, 2.55859375, 5.493164062500107, 3.6914062499998934, 1.6015625, 3.1054687500000533, 2.1289062500001066, 1.4697265624998934, 4.379882812500107, 8.217773437499947, 2.9003906250001066, 6.049804687499893, 2.2851562500001066, 2.2216796875001066, 6.005859374999893, 6.518554687499947, 2.3925781250001066, 17.846679687499893, 2.0605468749999467, 3.7695312499998934, 0.8740234375001066, 1.4794921875000533, 0.4736328125001066, 1.5820312499999467, 1.8359374999998934, 2.7246093749999467, 2.3828124999998934, 1.6406249999998934]"
5,"[15, 18, 20, 59, 61, 63, 65, 66, 70, 72, 73, 75, 78, 80, 81, 83, 86, 87, 88, 94, 96, 97, 99, 101, 102, 107, 110, 116, 117, 159, 161, 166, 168, 172, 195, 216, 235]","[332.4792555555556, 337.5014873873874, 335.3133010309278, 338.10020567375886, 336.22138396946565, 341.7280256281407, 336.7398282051282, 337.02191495327105, 338.12540921985817, 336.8258677419355, 337.5830666666667, 336.5292487179487, -217.70420000000001, 337.31658695652175, 337.831546835443, 337.74043127413125, 337.87012727272725, 336.1157666666667, 368.4451333333334, 337.8038046511628, 336.67678876404494, 337.53955283018865, 337.1879, 337.28567464788733, 336.6793272727272, 337.11032222222224, 335.7685597014925, 345.9175436619718, 343.6448596330275, 346.76781239669424, 503.8578333333333, 345.0652647058823, 118.37388732394365, 328.13509999999997, 346.97983924050635, 341.5034623376623, 338.1949]","[1.93359375, 2.2216796874998934, 4.404296875000107, 2.1874999999998934, 2.4853515625, 2.6318359375001066, 4.599609374999893, 5.014648437499893, 2.0507812499998934, 4.711914062500053, 1.7919921874999467, 8.803710937500053, 5.3076171875, 5.048828124999947, 4.536132812499947, 5.185546875000107, 8.583984375000107, 4.697265625000107, 2.744140625, 3.7255859375, 8.1591796875, 1.4501953125, 1.6796875000000533, 1.5332031249999467, 3.2421875000001066, 1.6845703124999467, 2.9589843750000533, 1.865234375, 2.0117187500000533, 3.2128906250001066, 1.1572265625000533, 2.2216796874999467, 2.2998046875001066, 2.2216796875000533, 1.552734375, 1.7187499999999467, 1.1523437499999467]"
6,"[5, 6, 9, 13, 18, 51, 53, 55, 58, 59, 63, 66, 72, 73, 74, 75, 80, 81, 83, 85, 87, 88, 94, 96, 101, 102, 109, 110, 111, 112, 118, 123, 125, 131, 155, 164, 171, 172, 174, 180, 202, 208, 219, 231]","[344.1891789473684, 335.0466, 317.0674516129032, 335.7300142857143, 335.7741, 334.7432188679245, 335.63140000000004, 346.1681809523809, 338.6943183098591, 336.61299999999994, 337.7901558139535, 362.11603333333335, 338.2196485380117, 335.8116272727273, 336.482580952381, 337.1033, 337.0371265060241, 337.33463464566927, 337.5393847457627, 338.792431147541, 337.2471444444445, 337.70562022471915, 337.1841795918367, 336.7611333333333, 336.8464269461078, 337.6732168224299, 340.9048212121212, 336.55975925925924, 336.2886941176471, 336.85455151515157, 449.18841121495325, 339.1845666666667, 341.55567706422016, 346.35755, 351.2893538461538, 329.664837037037, 346.28665384615385, 347.5604714285714, 338.70602352941177, 375.34913921568625, 346.3541923076923, 343.3498896551724, 335.66511428571425, 343.50579999999997]","[2.6464843750000533, 2.1289062499998934, 2.5634765624999467, 4.921875, 1.9433593750000533, 2.2265625000000533, 0.9179687499998934, 3.8818359375001066, 2.5439453125000533, 2.0556640625001066, 5.039062499999947, 2.4853515624998934, 4.98046875, 1.8994140624998934, 2.3242187499998934, 1.6992187499998934, 6.948242187499947, 10.058593750000107, 7.495117187499947, 2.8759765624999467, 4.1845703125, 3.9746093749998934, 11.7236328125, 4.0869140625, 3.4667968749999467, 1.8994140625001066, 1.6259765625000533, 1.0742187500000533, 2.0019531250001066, 1.7236328124998934, 1.9335937499999467, 1.6015625000001066, 2.1484375, 2.3876953125000533, 1.6357421875000533, 1.2353515625000533, 2.0068359374998934, 2.3632812500000533, 1.3476562499999467, 2.3339843750001066, 2.6123046874999467, 2.3486328125001066, 3.466796875, 1.7529296875001066]"
7,"[2, 6, 12, 18, 20, 25, 46, 49, 53, 58, 59, 60, 62, 65, 66, 67, 68, 71, 73, 74, 75, 78, 81, 83, 85, 86, 87, 88, 96, 97, 101, 102, 103, 108, 109, 114, 116, 121, 130, 144, 153, 166, 171, 178, 186, 192, 197, 201, 215, 216, 240]","[340.6847631578948, 336.6800901960784, 334.57048421052633, 335.89022403100773, 336.70834603174603, 335.536137037037, 336.1045857142857, 336.42665867768596, 335.03837062937066, 335.81219999999996, 338.369, 335.6086551724138, 337.0008882352941, 336.46865348837207, 337.2048908713693, 338.7425367346939, 337.2763, 441.1523666666667, 337.5900340206186, 336.5120410041841, 336.94262420091326, 339.568180952381, 337.23179999999996, 337.537752991453, 337.4346661971831, 338.1143696969697, 337.3139603406326, 336.99718461538464, 337.0114051502146, 337.069754028436, 337.05174397163125, 336.3919114754098, 336.90262870813393, 336.07780769230766, 337.04211176470585, 368.63495714285716, 334.54026666666664, 334.5283121212121, 344.66021538461536, 346.5058689655172, 345.46731351351355, 347.37876315789475, 461.7593376068376, 347.1575631016043, 378.81099202453987, 459.78462452830195, 345.4666666666667, 348.6300075471698, 537.0838764705883, 340.88008571428566, 565.2388574468085]","[1.6552734374998934, 1.9580078125001066, 1.279296875, 3.6376953125, 5.532226562499893, 1.2646484375000533, 2.2216796875, 2.7197265625, 4.267578124999947, 0.8203125000000533, 1.5332031249998934, 1.9970703125000533, 4.931640624999893, 2.1679687500001066, 4.199218750000107, 3.4912109375001066, 2.5732421875, 0.4443359374999467, 6.3623046875, 6.997070312500107, 7.5830078125, 1.6650390624998934, 13.955078124999893, 1.93359375, 3.1884765625001066, 2.34375, 8.383789062499893, 2.3681640625, 9.218749999999947, 4.580078125000107, 5.703124999999947, 4.775390625, 9.0380859375, 1.9921875000001066, 1.71875, 2.8662109374998934, 3.0224609375001066, 2.0507812500001066, 2.1435546875000533, 1.2841796875001066, 3.5693359374999467, 2.0898437499998934, 1.8017578125001066, 3.3300781250001066, 2.6562500000000533, 1.9580078125001066, 1.6503906249999467, 0.966796875, 2.2021484374999467, 1.796875000000053, 2.3828124999998934]"
8,"[0, 6, 18, 20, 26, 47, 50, 53, 61, 62, 66, 68, 73, 74, 75, 78, 80, 81, 83, 85, 86, 87, 88, 91, 94, 96, 97, 99, 103, 104, 107, 109, 110, 115, 116, 120, 123, 129, 164, 182, 192, 202, 213]","[333.81003999999996, 336.45722626262625, 335.5774333333333, 339.5249333333333, 631.0896915254236, 344.0025333333333, 337.00952280701756, 340.2768260869566, 335.87599369369366, 336.34761343283583, 337.3074088607595, 336.412030994152, 336.6481537313433, 397.99240858895706, 337.68859246487864, 337.2186571428572, 337.0936320754717, 336.8930834224599, 337.41885813953485, 337.1931455284553, 338.8305623931624, 337.42368245614034, 337.557, 338.88810408163266, 337.17179217877094, 336.7618869565217, 336.820067032967, 336.5817630136986, 336.7821555555555, 336.54105555555554, 336.25010000000015, 336.9916830508474, 336.36544623655914, 335.3937222222222, 344.25178181818177, 505.12608571428575, 408.5250000000001, 342.179914893617, 346.7567256198347, 358.45696201550385, 370.3160846153846, 151.12783333333329, 348.86647647058817]","[3.6865234375001066, 1.6894531249998934, 1.611328125, 1.8310546875, 2.3437499999999467, 2.1044921874999467, 2.9882812499999467, 0.5957031249998934, 1.8408203125001066, 1.4941406250000533, 3.9160156249999467, 4.9365234375, 7.646484374999893, 7.504882812499947, 13.73046875, 3.2519531249999467, 5.629882812500107, 8.896484375000107, 1.7675781250000533, 2.9003906249998934, 2.6367187500000533, 5.5126953125, 3.9404296874998934, 1.6943359374999467, 4.6435546875, 4.541015624999893, 1.5527343750000533, 1.435546875, 1.4013671875001066, 2.9443359375001066, 1.0791015624998934, 1.4257812499999467, 1.6455078124999467, 1.7285156250000533, 3.6621093750001066, 1.3037109375, 2.1874999999998934, 2.0068359374999467, 2.1337890624998934, 2.1972656250000533, 1.9921874999999467, 1.7138671875000533, 2.1972656250001066]"
9,"[6, 12, 20, 21, 23, 25, 52, 54, 60, 61, 62, 66, 67, 68, 70, 71, 72, 73, 74, 75, 78, 80, 81, 83, 85, 86, 87, 88, 94, 96, 97, 101, 102, 103, 104, 106, 108, 109, 110, 122, 127, 153, 161, 167, 187, 191, 209, 216]","[364.5260285714285, 337.8568, 336.55150909090906, 399.2898530612245, 334.4208, 335.28027647058826, 340.4001591836735, 335.539, 371.01649999999995, 336.2623, 346.9079744186047, 337.5799203389831, 336.64369191374664, 336.12700175438596, 338.21225555555554, 339.1745962655601, 337.4890138211382, 337.54647396449707, 337.56478823529415, 336.7933224719101, 339.22783883495146, 336.4044024390244, 337.8463114345114, 337.56649801980194, -151.4797000000003, 539.1307333333333, 336.94212857142855, 337.1224349206349, 337.2705691275168, 336.8180068965517, 417.69434637681155, 335.85535454545453, 336.06298095238094, 337.2914148148148, 336.3037290076336, 336.7038392156863, 336.5458404255319, 350.4215888888889, 336.3114844559585, 333.63084313725494, 355.50932857142845, 345.4660388059702, 349.8931153846154, 336.7119, 344.912062745098, 346.9016571428572, 348.6132631578948, 335.350147826087]","[1.3330078125001066, 1.4062499999998934, 3.1054687500000533, 2.2753906250000533, 0.5419921874999467, 1.3671875, 1.8505859374998934, 2.2851562500000533, 1.0693359374999467, 1.6015625, 4.702148437499947, 6.313476562499893, 7.651367187500107, 4.804687500000107, 1.8066406249998934, 2.8417968749999467, 7.402343749999947, 3.4765624999999467, 5.170898437500053, 6.162109375000107, 1.73828125, 4.882812499999893, 9.350585937500053, 3.9599609375001066, 5.034179687499947, 2.0068359374998934, 8.984374999999893, 10.185546875, 3.9892578124998934, 7.753906249999947, 2.2363281249999467, 1.5917968750001066, 3.7646484375000533, 3.2861328124998934, 2.8271484374998934, 2.5195312500001066, 2.5976562500001066, 0.8984375000001066, 3.3300781250000533, 2.3291015624999467, 0.7031250000001066, 2.2998046875, 1.9726562499998934, 0.966796875, 2.1240234375, 2.1533203124999467, 2.6708984374999467, 1.7871093749998934]"
