PMT ID, Time, Charge
3, 338.076121, 2.553711
6, 335.607933, 2.900391
17, 333.121524, 3.500977
20, 336.686012, 2.197266
22, 354.469913, 2.529297
23, 335.168555, 2.197266
27, 335.077467, 2.944336
52, 347.848600, 2.412109
53, 334.954548, 2.490234
54, 337.175933, 2.163086
59, 337.719286, 1.616211
61, 336.206300, 1.909180
66, 337.503144, 1.220703
71, 339.145489, 2.363281
72, 337.389005, 2.119141
73, 337.627789, 4.794922
74, 337.906329, 4.140625
75, 337.076755, 3.627930
80, 337.314983, 2.343750
81, 337.815088, 2.724609
83, 338.150021, 1.811523
85, 339.538078, 1.777344
86, 336.564393, 4.912109
87, 337.477367, 10.043945
88, 337.481436, 11.186523
94, 337.831006, 7.358398
96, 336.729605, 4.301758
97, 337.790225, 5.371094
99, 337.946715, 1.582031
103, 337.199832, 2.788086
125, -126.736800, 3.769531
144, 346.881676, 2.827148
149, 92.960333, 2.294922
170, 213.051169, 2.456055
213, 336.349413, 2.504883
2, 335.263711, 1.469727
6, 342.335776, 3.964844
8, 335.411372, 1.757812
18, 335.750198, 1.499023
20, 336.098049, 3.447266
25, 335.962981, 1.889648
55, 337.029946, 2.861328
58, 337.652339, 1.416016
59, 338.128733, 2.177734
60, 336.541535, 3.706055
61, 335.765792, 4.404297
65, 336.138758, 2.353516
67, 337.184371, 4.174805
68, 337.735516, 5.239258
72, 337.429316, 8.657227
73, 337.788312, 6.621094
74, 338.072684, 6.362305
75, 337.919126, 5.771484
78, 338.058709, 2.280273
81, 336.821031, 2.236328
83, 337.431611, 5.527344
86, 338.068243, 3.310547
87, 341.786590, 0.336914
88, 337.534031, 16.088867
94, 336.859717, 8.427734
96, 336.509427, 7.929687
97, 339.412046, 2.241211
101, 336.670413, 3.422852
102, 337.639171, 1.376953
103, 337.564342, 1.943359
109, 337.036962, 0.781250
110, 335.201190, 1.005859
111, 337.794352, 1.245117
122, 334.301554, 1.713867
123, 336.592262, 1.889648
131, 364.877512, 0.751953
133, 348.555934, 2.934570
149, 381.766310, 2.231445
164, 346.297365, 1.953125
165, 340.452565, 1.157227
187, 346.582756, 1.704102
0, -33.094778, 1.606445
3, 343.268717, 1.044922
6, 336.295805, 3.808594
8, 335.111167, 3.535156
20, 354.720057, 1.357422
59, 347.856042, 1.113281
60, 335.528655, 0.717773
65, 340.223211, 4.321289
66, 336.778505, 3.046875
67, 336.655700, 3.227539
68, 335.677334, 1.953125
70, 338.972526, 1.030273
73, 337.039545, 7.846680
74, 337.070200, 9.145508
75, 337.512838, 2.397461
78, 336.821305, 2.011719
80, 337.260500, 6.840820
81, 336.679987, 6.293945
83, 337.428455, 6.591797
85, 338.568962, 2.055664
86, 337.875165, 4.755859
87, 338.206376, 1.538086
88, 337.530832, 3.032227
94, 340.413587, 1.318359
96, 336.752459, 11.455078
97, 338.400433, 3.867187
101, 337.133562, 0.834961
102, 336.928665, 3.193359
104, 336.736791, 2.875977
116, 335.417048, 1.611328
123, 343.875000, 1.215820
125, 396.887716, 1.948242
128, 395.050778, 2.255859
155, 346.670892, 0.698242
159, 347.648391, 5.024414
164, 640.383094, 1.088867
171, 351.600500, 1.206055
172, 370.556158, 1.787109
184, 346.535929, 1.860352
191, 344.764425, 2.529297
207, 345.880931, 1.557617
240, 335.790795, 1.635742
6, 335.963296, 3.715820
12, 334.514191, 0.834961
18, 335.679555, 1.762695
20, 337.871702, 2.216797
27, 335.700674, 2.031250
42, 391.418500, 1.435547
54, 343.078091, 0.795898
61, 341.070871, 1.098633
62, 346.735755, 1.879883
66, 372.127222, 1.879883
67, 356.416911, 2.973633
68, 336.911178, 2.124023
71, 337.952641, 5.625000
72, 338.021476, 2.680664
73, 337.299605, 3.823242
74, 336.718996, 14.252930
75, 337.538147, 3.564453
78, 352.197195, 2.446289
80, 337.419087, 5.561523
81, 246.290550, 3.007812
83, 337.426537, 7.158203
85, 338.120300, 4.208984
86, 338.181073, 4.433594
87, 336.932751, 9.501953
88, 336.861860, 8.549805
94, 337.152892, 3.535156
96, 338.668579, 1.303711
97, 337.246100, 2.089844
101, 410.928567, 1.210938
104, 336.083235, 5.634766
106, 336.719451, 2.226563
107, 336.300957, 1.337891
111, 353.137611, 1.645508
116, 376.055328, 2.075195
128, 342.308814, 2.373047
155, 348.787590, 1.811523
164, 344.460843, 3.300781
165, 344.721065, 2.280273
166, 328.700167, 1.308594
174, 346.203390, 2.246094
185, 348.531053, 2.246094
193, 358.063318, 1.528320
228, 160.957555, 3.066406
3, 335.524101, 6.264648
6, 336.141046, 6.772461
13, 341.506313, 2.495117
18, 335.506481, 2.685547
53, 336.147333, 1.450195
59, 336.144082, 4.916992
60, 336.251632, 2.124023
61, 336.551531, 2.866211
63, 337.930872, 2.822266
65, 337.565288, 2.558594
66, 336.469855, 5.493164
67, 338.362279, 3.691406
72, 337.546900, 1.601562
73, 337.310227, 3.105469
74, 336.999800, 2.128906
75, 337.300531, 1.469727
78, 337.674877, 4.379883
80, 336.811623, 8.217773
81, 336.070816, 2.900391
83, 337.545493, 6.049805
85, 338.473900, 2.285156
86, 337.788440, 2.221680
87, 337.094450, 6.005859
88, 338.259622, 6.518555
91, 337.925642, 2.392578
96, 336.800199, 17.846680
97, 340.124661, 2.060547
101, 336.997068, 3.769531
108, 336.975722, 0.874023
109, 336.206986, 1.479492
111, 339.917748, 0.473633
160, 339.277414, 1.582031
179, 346.449619, 1.835937
194, 337.787065, 2.724609
205, 246.296467, 2.382812
218, 350.292867, 1.640625
15, 332.479256, 1.933594
18, 337.501487, 2.221680
20, 335.313301, 4.404297
59, 338.100206, 2.187500
61, 336.221384, 2.485352
63, 341.728026, 2.631836
65, 336.739828, 4.599609
66, 337.021915, 5.014648
70, 338.125409, 2.050781
72, 336.825868, 4.711914
73, 337.583067, 1.791992
75, 336.529249, 8.803711
78, -217.704200, 5.307617
80, 337.316587, 5.048828
81, 337.831547, 4.536133
83, 337.740431, 5.185547
86, 337.870127, 8.583984
87, 336.115767, 4.697266
88, 368.445133, 2.744141
94, 337.803805, 3.725586
96, 336.676789, 8.159180
97, 337.539553, 1.450195
99, 337.187900, 1.679688
101, 337.285675, 1.533203
102, 336.679327, 3.242188
107, 337.110322, 1.684570
110, 335.768560, 2.958984
116, 345.917544, 1.865234
117, 343.644860, 2.011719
159, 346.767812, 3.212891
161, 503.857833, 1.157227
166, 345.065265, 2.221680
168, 118.373887, 2.299805
172, 328.135100, 2.221680
195, 346.979839, 1.552734
216, 341.503462, 1.718750
235, 338.194900, 1.152344
5, 344.189179, 2.646484
6, 335.046600, 2.128906
9, 317.067452, 2.563477
13, 335.730014, 4.921875
18, 335.774100, 1.943359
51, 334.743219, 2.226563
53, 335.631400, 0.917969
55, 346.168181, 3.881836
58, 338.694318, 2.543945
59, 336.613000, 2.055664
63, 337.790156, 5.039062
66, 362.116033, 2.485352
72, 338.219649, 4.980469
73, 335.811627, 1.899414
74, 336.482581, 2.324219
75, 337.103300, 1.699219
80, 337.037127, 6.948242
81, 337.334635, 10.058594
83, 337.539385, 7.495117
85, 338.792431, 2.875977
87, 337.247144, 4.184570
88, 337.705620, 3.974609
94, 337.184180, 11.723633
96, 336.761133, 4.086914
101, 336.846427, 3.466797
102, 337.673217, 1.899414
109, 340.904821, 1.625977
110, 336.559759, 1.074219
111, 336.288694, 2.001953
112, 336.854552, 1.723633
118, 449.188411, 1.933594
123, 339.184567, 1.601563
125, 341.555677, 2.148438
131, 346.357550, 2.387695
155, 351.289354, 1.635742
164, 329.664837, 1.235352
171, 346.286654, 2.006836
172, 347.560471, 2.363281
174, 338.706024, 1.347656
180, 375.349139, 2.333984
202, 346.354192, 2.612305
208, 343.349890, 2.348633
219, 335.665114, 3.466797
231, 343.505800, 1.752930
2, 340.684763, 1.655273
6, 336.680090, 1.958008
12, 334.570484, 1.279297
18, 335.890224, 3.637695
20, 336.708346, 5.532227
25, 335.536137, 1.264648
46, 336.104586, 2.221680
49, 336.426659, 2.719727
53, 335.038371, 4.267578
58, 335.812200, 0.820313
59, 338.369000, 1.533203
60, 335.608655, 1.997070
62, 337.000888, 4.931641
65, 336.468653, 2.167969
66, 337.204891, 4.199219
67, 338.742537, 3.491211
68, 337.276300, 2.573242
71, 441.152367, 0.444336
73, 337.590034, 6.362305
74, 336.512041, 6.997070
75, 336.942624, 7.583008
78, 339.568181, 1.665039
81, 337.231800, 13.955078
83, 337.537753, 1.933594
85, 337.434666, 3.188477
86, 338.114370, 2.343750
87, 337.313960, 8.383789
88, 336.997185, 2.368164
96, 337.011405, 9.218750
97, 337.069754, 4.580078
101, 337.051744, 5.703125
102, 336.391911, 4.775391
103, 336.902629, 9.038086
108, 336.077808, 1.992188
109, 337.042112, 1.718750
114, 368.634957, 2.866211
116, 334.540267, 3.022461
121, 334.528312, 2.050781
130, 344.660215, 2.143555
144, 346.505869, 1.284180
153, 345.467314, 3.569336
166, 347.378763, 2.089844
171, 461.759338, 1.801758
178, 347.157563, 3.330078
186, 378.810992, 2.656250
192, 459.784625, 1.958008
197, 345.466667, 1.650391
201, 348.630008, 0.966797
215, 537.083876, 2.202148
216, 340.880086, 1.796875
240, 565.238857, 2.382812
0, 333.810040, 3.686523
6, 336.457226, 1.689453
18, 335.577433, 1.611328
20, 339.524933, 1.831055
26, 631.089692, 2.343750
47, 344.002533, 2.104492
50, 337.009523, 2.988281
53, 340.276826, 0.595703
61, 335.875994, 1.840820
62, 336.347613, 1.494141
66, 337.307409, 3.916016
68, 336.412031, 4.936523
73, 336.648154, 7.646484
74, 397.992409, 7.504883
75, 337.688592, 13.730469
78, 337.218657, 3.251953
80, 337.093632, 5.629883
81, 336.893083, 8.896484
83, 337.418858, 1.767578
85, 337.193146, 2.900391
86, 338.830562, 2.636719
87, 337.423682, 5.512695
88, 337.557000, 3.940430
91, 338.888104, 1.694336
94, 337.171792, 4.643555
96, 336.761887, 4.541016
97, 336.820067, 1.552734
99, 336.581763, 1.435547
103, 336.782156, 1.401367
104, 336.541056, 2.944336
107, 336.250100, 1.079102
109, 336.991683, 1.425781
110, 336.365446, 1.645508
115, 335.393722, 1.728516
116, 344.251782, 3.662109
120, 505.126086, 1.303711
123, 408.525000, 2.187500
129, 342.179915, 2.006836
164, 346.756726, 2.133789
182, 358.456962, 2.197266
192, 370.316085, 1.992187
202, 151.127833, 1.713867
213, 348.866476, 2.197266
6, 364.526029, 1.333008
12, 337.856800, 1.406250
20, 336.551509, 3.105469
21, 399.289853, 2.275391
23, 334.420800, 0.541992
25, 335.280276, 1.367188
52, 340.400159, 1.850586
54, 335.539000, 2.285156
60, 371.016500, 1.069336
61, 336.262300, 1.601562
62, 346.907974, 4.702148
66, 337.579920, 6.313477
67, 336.643692, 7.651367
68, 336.127002, 4.804688
70, 338.212256, 1.806641
71, 339.174596, 2.841797
72, 337.489014, 7.402344
73, 337.546474, 3.476562
74, 337.564788, 5.170898
75, 336.793322, 6.162109
78, 339.227839, 1.738281
80, 336.404402, 4.882812
81, 337.846311, 9.350586
83, 337.566498, 3.959961
85, -151.479700, 5.034180
86, 539.130733, 2.006836
87, 336.942129, 8.984375
88, 337.122435, 10.185547
94, 337.270569, 3.989258
96, 336.818007, 7.753906
97, 417.694346, 2.236328
101, 335.855355, 1.591797
102, 336.062981, 3.764648
103, 337.291415, 3.286133
104, 336.303729, 2.827148
106, 336.703839, 2.519531
108, 336.545840, 2.597656
109, 350.421589, 0.898438
110, 336.311484, 3.330078
122, 333.630843, 2.329102
127, 355.509329, 0.703125
153, 345.466039, 2.299805
161, 349.893115, 1.972656
167, 336.711900, 0.966797
187, 344.912063, 2.124023
191, 346.901657, 2.153320
209, 348.613263, 2.670898
216, 335.350148, 1.787109
6, 335.932639, 3.139648
9, 344.494000, 1.982422
12, 334.768467, 2.788086
13, 359.650520, 3.710937
24, 521.881702, 2.446289
26, 341.066867, 1.718750
29, 342.088975, 2.500000
53, 336.415667, 3.535156
61, 335.563708, 4.482422
62, 336.626532, 2.075195
66, 337.238819, 1.586914
67, 338.497120, 2.377930
68, 337.093359, 4.497070
71, 341.402603, 1.875000
72, 337.411900, 7.568359
73, 337.911400, 7.705078
74, 337.725585, 3.090820
75, 336.823975, 9.150391
78, 337.650915, 6.928711
80, 373.341963, 1.918945
81, 337.637824, 6.127930
85, 337.811729, 3.759766
86, 338.108645, 4.194336
87, 337.338700, 5.878906
88, 337.416900, 10.136719
91, 338.227131, 1.918945
94, 337.424533, 14.687500
96, 336.637776, 8.642578
97, 337.227979, 6.586914
101, 345.132900, 3.403320
102, 336.974236, 2.714844
109, 368.160392, 1.611328
110, 335.812079, 1.977539
111, 341.163604, 1.933594
116, 335.856129, 2.226563
125, 335.436533, 1.459961
142, 346.498836, 2.114258
148, 346.439231, 1.811523
153, 440.722967, 4.282227
170, 348.786882, 0.937500
174, 350.574752, 2.089844
195, 342.303437, 1.293945
6, 336.670908, 4.472656
8, 336.507929, 0.942383
25, 335.225600, 3.789063
50, 336.892036, 1.953125
52, 355.585358, 1.899414
58, 335.958668, 2.817383
60, 337.568825, 1.723633
65, 337.575445, 2.207031
66, 337.078104, 3.916016
68, 335.851013, 6.816406
73, 337.618092, 1.884766
74, 336.638363, 1.943359
75, 336.707885, 4.311523
78, 337.782345, 1.572266
80, 338.067167, 0.502930
81, 337.903356, 2.250977
83, 337.475531, 2.788086
86, 337.686157, 11.049805
87, 336.610700, 7.773438
88, 336.653176, 3.081055
91, 338.220082, 2.895508
94, 337.416426, 7.309570
96, 337.703638, 11.875000
97, 336.834326, 2.670898
102, 336.316117, 1.884766
103, 337.161883, 0.976563
104, 336.244125, 3.374023
107, 337.371614, 1.298828
110, 336.461255, 0.693359
117, 334.701505, 3.525391
131, 353.476300, 2.368164
143, 354.332739, 2.705078
149, 347.363471, 1.533203
174, 341.879395, 1.816406
188, 339.756133, 0.825195
206, 346.323090, 1.401367
215, 335.036903, 1.298828
0, 354.212980, 2.294922
6, 336.054600, 3.964844
8, 335.949833, 1.752930
23, 344.643604, 2.622070
29, 394.077459, 2.778320
51, 337.302959, 2.119141
54, 343.997750, 2.094727
58, 345.892961, 2.670898
65, 336.688384, 2.656250
66, 338.931492, 1.582031
67, 337.137136, 15.571289
68, 336.606515, 5.996094
70, 338.676700, 0.483398
73, 337.548374, 2.480469
74, 336.694010, 6.386719
75, 341.441300, 1.625977
78, 351.231940, 2.392578
80, 336.833176, 4.130859
81, 336.497726, 3.491211
83, 337.713042, 5.156250
85, 338.685618, 2.172852
86, 337.991995, 5.317383
87, 339.104754, 2.265625
88, 337.013424, 4.663086
91, 339.193072, 1.118164
94, 337.219486, 3.427734
97, 338.811862, 1.284180
102, 337.833611, 1.967773
103, 336.286600, 1.582031
104, 338.174833, 6.757812
105, 337.483514, 0.620117
106, 336.897701, 1.855469
107, 335.272957, 2.348633
108, 557.542196, 1.547852
109, 337.404537, 2.656250
110, 338.719447, 1.728516
111, 335.770543, 2.690430
114, 335.835211, 2.548828
126, 367.654811, 1.782227
129, 335.096142, 1.704102
136, 347.898517, 2.075195
139, 345.713875, 3.037109
159, 351.138032, 2.763672
172, 348.056757, 4.028320
179, 347.377700, 1.191406
194, 342.928290, 1.816406
197, 334.040000, 0.698242
203, 345.053138, 1.997070
3, 335.816396, 2.895508
6, 335.350850, 2.563477
13, 342.568824, 2.050781
22, 334.526701, 2.319336
23, 338.008202, 1.840820
29, 24.689678, 1.625977
51, 337.718533, 2.260742
53, 342.163286, 2.026367
58, 336.362933, 1.059570
59, 336.420020, 2.319336
60, 336.590680, 1.020508
65, 337.446515, 4.902344
67, 336.772582, 1.743164
68, 336.381976, 4.130859
73, 337.121400, 4.697266
74, 336.652962, 8.100586
75, 337.193522, 7.739258
80, 337.867167, 8.955078
81, 336.675271, 8.471680
83, 338.300198, 3.354492
86, 358.160944, 3.125000
87, 337.136927, 8.491211
88, 337.998723, 1.586914
94, 337.213234, 9.663086
96, 336.530612, 12.871094
97, 338.912897, 2.021484
101, 338.203233, 0.615234
102, 336.763354, 4.794922
103, 337.538895, 3.979492
104, 337.302300, 0.327148
109, 336.771619, 0.615234
117, 371.439507, 2.666016
119, 345.345332, 2.153320
148, 344.008560, 2.036133
171, 344.505000, 1.904297
173, 346.241876, 2.236328
174, 346.702372, 1.079102
178, 343.172378, 0.522461
184, 286.401833, -0.083008
192, -37.745739, 1.738281
213, 347.579235, 3.774414
215, 341.209582, 2.485352
216, 335.320852, 2.602539
218, 346.088135, 3.925781
223, 343.188778, 2.949219
236, 341.197742, 3.144531
3, 336.671560, 2.744141
6, 336.114600, 3.227539
13, 335.836413, 2.172852
20, 336.943015, 1.997070
25, 335.619933, 2.128906
41, 664.285297, 1.256836
62, 338.028271, 1.176758
65, 337.733973, 1.948242
66, 337.438828, 4.130859
67, 336.512345, 9.570313
68, 336.264603, 4.443359
71, 337.488410, 1.860352
73, 336.400872, 4.609375
74, 337.855800, 0.859375
75, 337.836673, 4.409180
80, 337.235070, 11.245117
81, 337.528943, 3.730469
83, 337.444803, 2.934570
85, 339.165100, 1.542969
86, 337.763384, 4.252930
87, 338.962879, 5.043945
88, 337.258663, 7.709961
94, 337.249985, 4.384766
96, 336.959664, 4.824219
97, 337.942776, 1.376953
102, 336.606402, 4.399414
103, 337.341281, 0.898437
107, 335.518100, 0.834961
108, 335.554500, 1.689453
109, 338.703547, 1.679687
110, -5.603786, 1.542969
113, 337.484267, 0.961914
116, 335.942171, 0.498047
117, 343.813300, 2.734375
131, 342.770522, 1.220703
164, 328.651000, 1.967773
166, 328.359538, 2.177734
173, 329.110063, 1.655273
216, 335.726813, 2.333984
236, 354.115517, 1.503906
